sentence,entity,sentiment
카카오가 새로운 서비스 출시로 사용자 수가 급증했다.,카카오,Positive
SK하이닉스는 반도체 수요 감소로 이익이 줄었다.,none,Neutral
SK하이닉스는 반도체 수요 감소로 이익이 줄었다.,SK하이닉스,Negative
네이버는 시장 점유율을 유지하며 안정적인 실적을 기록했다.,none,Neutral
네이버는 시장 점유율을 유지하며 안정적인 실적을 기록했다.,네이버,Neutral
LG디스플레이가 신기술 도입으로 매출을 크게 늘렸다.,none,Neutral
LG디스플레이가 신기술 도입으로 매출을 크게 늘렸다.,LG디스플레이,Positive
롯데케미칼은 비용 상승으로 분기 실적이 악화되었다.,none,Neutral
롯데케미칼은 비용 상승으로 분기 실적이 악화되었다.,롯데케미칼,Negative
腾讯宣布新的人工智能计划，股价上涨3%。,none,Neutral
腾讯宣布新的人工智能计划，股价上涨3%。,腾讯,Positive
华为受到出口限制影响，收入下降。,none,Neutral
华为受到出口限制影响，收入下降。,华为,Negative
京东保持稳定的销售增长，没有显著波动。,none,Neutral
京东保持稳定的销售增长，没有显著波动。,京东,Neutral
百度因推出新搜索算法而获得市场好评。,none,Neutral
百度因推出新搜索算法而获得市场好评。,百度,Positive
美团受到监管政策调整影响，股价下跌。,none,Neutral
美团受到监管政策调整影响，股价下跌。,美团,Negative
شركة الاتصالات السعودية أعلنت عن زيادة كبيرة في الأرباح.,none,Neutral
شركة الاتصالات السعودية أعلنت عن زيادة كبيرة في الأرباح.,شركة الاتصالات السعودية,Positive
شركة طيران الإمارات تكبدت خسائر بسبب ارتفاع أسعار الوقود.,none,Neutral
شركة طيران الإمارات تكبدت خسائر بسبب ارتفاع أسعار الوقود.,شركة طيران الإمارات,Negative
بنك الراجحي حافظ على أداء مستقر في الربع الأخير.,none,Neutral
بنك الراجحي حافظ على أداء مستقر في الربع الأخير.,بنك الراجحي,Neutral
شركة سابك أعلنت عن إطلاق مشروع جديد للبتروكيماويات.,none,Neutral
شركة سابك أعلنت عن إطلاق مشروع جديد للبتروكيماويات.,شركة سابك,Positive
الخطوط الجوية القطرية تأثرت بانخفاض الطلب العالمي على السفر.,none,Neutral
الخطوط الجوية القطرية تأثرت بانخفاض الطلب العالمي على السفر.,الخطوط الجوية القطرية,Negative
